id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility,result
5409,영남본부,부산광역시 부산진구 부암동 681-5,경부선,506,활용,미사용,없음,38.0,철도용지,462000.0,가능,46.3,875271.0,159701.0,1
5411,영남본부,부산광역시 부산진구 부암동 682-9,경부선,17,활용,미사용,없음,1.0,대,462000.0,가능,46.3,23034.0,4202.0,1
5420,영남본부,부산광역시 부산진구 부암동 686-1,경부선,3349,활용,미사용,없음,257.0,철도용지,498300.0,가능,46.3,5919583.0,1049217.0,1
18970,강원본부,충청북도 제천시 고명동 340-1,중앙선,2396,활용,미사용,계획 없음,184.0,철도용지,36300.0,가능,39.48,3611810.0,644922.0,1
18971,강원본부,충청북도 제천시 고명동 341-2,중앙선,43,활용,미사용,계획 없음,3.0,철도용지,30600.0,가능,39.48,58882.0,10743.0,0
18972,강원본부,충청북도 제천시 고명동 341-4,중앙선,60,활용,미사용,계획 없음,4.0,답,9730.0,가능,39.48,78516.0,14325.0,0
18974,강원본부,충청북도 제천시 고명동 371-1,중앙선,182,활용,미사용,계획 없음,14.0,철도용지,23200.0,가능,39.48,274815.0,50142.0,0
18975,강원본부,충청북도 제천시 고명동 371-4,중앙선,704,활용,미사용,계획 없음,54.0,답,16400.0,가능,39.48,1059990.0,193404.0,0
18976,강원본부,충청북도 제천시 고명동 372-1,중앙선,89,활용,미사용,계획 없음,6.0,철도용지,23200.0,가능,39.48,117770.0,21488.0,0
18977,강원본부,충청북도 제천시 고명동 372-3,중앙선,50,활용,미사용,계획 없음,3.0,답,16400.0,가능,39.48,58882.0,10743.0,0
18978,강원본부,충청북도 제천시 고명동 373-2,중앙선,2708,활용,미사용,계획 없음,208.0,철도용지,29700.0,가능,39.48,4082909.0,726964.0,1
18979,강원본부,충청북도 제천시 고명동 378-2,중앙선,2357,활용,미사용,계획 없음,181.0,철도용지,18300.0,가능,39.48,3552920.0,634707.0,1
18980,강원본부,충청북도 제천시 고명동 378-3,중앙선,218,활용,미사용,계획 없음,16.0,철도용지,22900.0,가능,39.48,314074.0,57305.0,0
18981,강원본부,충청북도 제천시 고명동 378-5,중앙선,407,활용,미사용,계획 없음,31.0,철도용지,22000.0,가능,39.48,608509.0,111028.0,0
18982,강원본부,충청북도 제천시 고명동 381-2,중앙선,1884,활용,미사용,계획 없음,145.0,철도용지,18200.0,가능,39.48,2846259.0,511724.0,1
18983,강원본부,충청북도 제천시 고명동 386-3,중앙선,99,활용,미사용,계획 없음,7.0,철도용지,5770.0,가능,39.48,137407.0,25071.0,0
18984,강원본부,충청북도 제천시 고명동 881-1,중앙선,73,활용,미사용,계획 없음,5.0,철도용지,9730.0,가능,39.48,98142.0,17906.0,0
18986,강원본부,충청북도 제천시 고명동 산 36-2,중앙선,2083,활용,미사용,계획 없음,160.0,철도용지,17800.0,가능,39.48,3140700.0,562931.0,1
18987,강원본부,충청북도 제천시 고명동 산 36-3,중앙선,198,활용,미사용,계획 없음,15.0,철도용지,23200.0,가능,39.48,294438.0,53722.0,0
18988,강원본부,충청북도 제천시 고명동 산 48-3,중앙선,2182,활용,미사용,계획 없음,168.0,철도용지,5770.0,가능,39.48,3297737.0,590379.0,1
18989,강원본부,충청북도 제천시 고명동 산 48-5,중앙선,496,활용,미사용,계획 없음,38.0,철도용지,5770.0,가능,39.48,745917.0,136099.0,0
18990,강원본부,충청북도 제천시 고명동 산 49-3,중앙선,2876,활용,미사용,계획 없음,221.0,철도용지,16100.0,가능,39.48,4338093.0,771296.0,1
18991,강원본부,충청북도 제천시 고명동 산 49-5,중앙선,496,활용,미사용,계획 없음,38.0,철도용지,22000.0,가능,39.48,745917.0,136099.0,0
18992,강원본부,충청북도 제천시 고명동 산 49-6,중앙선,1091,활용,미사용,계획 없음,84.0,철도용지,5770.0,가능,39.48,1648876.0,300852.0,0
18993,강원본부,충청북도 제천시 고명동 산 49-7,중앙선,496,활용,미사용,계획 없음,38.0,철도용지,22000.0,가능,39.48,745917.0,136099.0,0
18994,강원본부,충청북도 제천시 대랑동 175-1,중앙선,321,활용,미사용,계획 없음,24.0,철도용지,18600.0,가능,39.17,467409.0,85283.0,0
18995,강원본부,충청북도 제천시 대랑동 185-2,중앙선,500,활용,미사용,계획 없음,38.0,철도용지,18500.0,가능,39.17,740071.0,135032.0,0
18997,강원본부,충청북도 제천시 대랑동 192,중앙선,1257,활용,미사용,계획 없음,96.0,철도용지,18600.0,가능,39.17,1869640.0,341133.0,0
19001,강원본부,충청북도 제천시 대랑동 223-6,중앙선,995,활용,미사용,계획 없음,76.0,철도용지,19700.0,가능,39.17,1480127.0,270062.0,0
19003,강원본부,충청북도 제천시 대랑동 254-2,중앙선,4367,활용,미사용,계획 없음,336.0,철도용지,47200.0,가능,39.17,6543722.0,1154849.0,1
19006,강원본부,충청북도 제천시 대랑동 260-14,중앙선,347,활용,미사용,계획 없음,26.0,답,7090.0,가능,39.17,506362.0,92390.0,0
19007,강원본부,충청북도 제천시 대랑동 260-2,중앙선,126,활용,미사용,계획 없음,9.0,답,7090.0,가능,39.17,175273.0,31980.0,0
19008,강원본부,충청북도 제천시 대랑동 260-3,중앙선,628,활용,미사용,계획 없음,48.0,도로,7090.0,가능,39.17,934814.0,170565.0,0
19009,강원본부,충청북도 제천시 대랑동 260-4,중앙선,3421,활용,미사용,계획 없음,263.0,철도용지,63500.0,가능,39.17,5122021.0,907636.0,1
19010,강원본부,충청북도 제천시 대랑동 260-5,중앙선,20,활용,미사용,계획 없음,1.0,도로,7090.0,가능,39.17,19475.0,3553.0,0
19011,강원본부,충청북도 제천시 대랑동 260-8,중앙선,26,활용,미사용,계획 없음,2.0,도로,7090.0,가능,39.17,38967.0,7109.0,0
19012,강원본부,충청북도 제천시 대랑동 261-2,중앙선,747,활용,미사용,계획 없음,57.0,도로,7090.0,가능,39.17,1110094.0,202546.0,0
19013,강원본부,충청북도 제천시 대랑동 261-4,중앙선,99,활용,미사용,계획 없음,7.0,답,7090.0,가능,39.17,136326.0,24873.0,0
19014,강원본부,충청북도 제천시 대랑동 262-2,중앙선,40,활용,미사용,계획 없음,3.0,철도용지,19700.0,가능,39.17,58417.0,10658.0,0
19015,강원본부,충청북도 제천시 대랑동 267-1,중앙선,267,활용,미사용,계획 없음,20.0,철도용지,19700.0,가능,39.17,389509.0,71069.0,0
19016,강원본부,충청북도 제천시 대랑동 267-3,중앙선,361,활용,미사용,계획 없음,27.0,철도용지,19700.0,가능,39.17,525834.0,95943.0,0
19017,강원본부,충청북도 제천시 대랑동 285-1,중앙선,450,활용,미사용,계획 없음,34.0,철도용지,4950.0,가능,39.17,662162.0,120817.0,0
19018,강원본부,충청북도 제천시 대랑동 290-3,중앙선,592,활용,미사용,계획 없음,45.0,답,7090.0,가능,39.17,876389.0,159905.0,0
19019,강원본부,충청북도 제천시 대랑동 291-2,중앙선,364,활용,미사용,계획 없음,28.0,답,7090.0,가능,39.17,545317.0,99498.0,0
19020,강원본부,충청북도 제천시 대랑동 34-1,중앙선,364,활용,미사용,계획 없음,28.0,철도용지,16300.0,가능,39.17,545317.0,99498.0,0
19021,강원본부,충청북도 제천시 대랑동 35-2,중앙선,1494,활용,미사용,계획 없음,115.0,철도용지,19100.0,가능,39.17,2239666.0,406084.0,1
19022,강원본부,충청북도 제천시 대랑동 41-4,중앙선,248,활용,미사용,계획 없음,19.0,도로,16600.0,가능,39.17,370032.0,67515.0,0
19023,강원본부,충청북도 제천시 대랑동 42-2,중앙선,635,활용,미사용,계획 없음,48.0,철도용지,17300.0,가능,39.17,934814.0,170565.0,0
19025,강원본부,충청북도 제천시 대랑동 72-3,중앙선,922,활용,미사용,계획 없음,70.0,철도용지,18300.0,가능,39.17,1363270.0,248741.0,0
19026,강원본부,충청북도 제천시 대랑동 72-4,중앙선,387,활용,미사용,계획 없음,29.0,철도용지,16400.0,가능,39.17,564787.0,103050.0,0
19027,강원본부,충청북도 제천시 대랑동 산 10-4,중앙선,694,활용,미사용,계획 없음,53.0,임야,7090.0,가능,39.17,1032191.0,188332.0,0
19028,강원본부,충청북도 제천시 대랑동 산 11-1,중앙선,992,활용,미사용,계획 없음,76.0,철도용지,4950.0,가능,39.17,1480127.0,270062.0,0
19029,강원본부,충청북도 제천시 대랑동 산 21-1,중앙선,22268,활용,미사용,계획 없음,1714.0,철도용지,17700.0,가능,39.17,33380782.0,5823187.0,2
19030,강원본부,충청북도 제천시 대랑동 산 27-1,중앙선,298,활용,미사용,계획 없음,22.0,철도용지,19700.0,가능,39.17,428460.0,78176.0,0
19031,강원본부,충청북도 제천시 대랑동 산 27-3,중앙선,2182,활용,미사용,계획 없음,168.0,철도용지,18500.0,가능,39.17,3271863.0,585747.0,1
19032,강원본부,충청북도 제천시 대랑동 산 27-4,중앙선,793,활용,미사용,계획 없음,61.0,철도용지,18500.0,가능,39.17,1187995.0,216760.0,0
19033,강원본부,충청북도 제천시 대랑동 산 27-5,중앙선,298,활용,미사용,계획 없음,22.0,철도용지,18500.0,가능,39.17,428460.0,78176.0,0
19034,강원본부,충청북도 제천시 대랑동 산 28-1,중앙선,69,활용,미사용,계획 없음,5.0,철도용지,17000.0,가능,39.17,97379.0,17767.0,0
19035,강원본부,충청북도 제천시 대랑동 산 29-2,중앙선,1091,활용,미사용,계획 없음,84.0,철도용지,18500.0,가능,39.17,1635938.0,298491.0,0
19036,강원본부,충청북도 제천시 대랑동 산 29-4,중앙선,1686,활용,미사용,계획 없음,129.0,철도용지,18500.0,가능,39.17,2512325.0,453604.0,1
19038,강원본부,충청북도 제천시 대랑동 산 31-2,중앙선,5653,활용,미사용,계획 없음,435.0,철도용지,17100.0,가능,39.17,8471789.0,1490091.0,1
19039,강원본부,충청북도 제천시 대랑동 산 38-2,중앙선,9520,활용,미사용,계획 없음,733.0,철도용지,6430.0,가능,39.17,14275440.0,2499994.0,2
19042,강원본부,충청북도 단양군 매포읍 가평리 110-2,중앙선,1022,기타,미사용,계획 없음,78.0,철도용지,6930.0,가능,37.79,1465629.0,267417.0,0
19043,강원본부,충청북도 단양군 매포읍 가평리 111-1,중앙선,3666,기타,미사용,계획 없음,282.0,철도용지,10300.0,가능,37.79,5298788.0,937611.0,1
19044,강원본부,충청북도 단양군 매포읍 가평리 113-1,중앙선,1448,기타,미사용,계획 없음,111.0,철도용지,10300.0,가능,37.79,2085685.0,378784.0,0
19045,강원본부,충청북도 단양군 매포읍 가평리 115-1,중앙선,96,기타,미사용,계획 없음,7.0,전,5440.0,가능,37.79,131530.0,23998.0,0
19047,강원본부,충청북도 단양군 매포읍 가평리 119-1,중앙선,764,기타,미사용,계획 없음,58.0,철도용지,5440.0,가능,37.79,1089821.0,198847.0,0
19048,강원본부,충청북도 단양군 매포읍 가평리 119-3,중앙선,89,기타,미사용,계획 없음,6.0,철도용지,5440.0,가능,37.79,112735.0,20569.0,0
19049,강원본부,충청북도 단양군 매포읍 가평리 120-2,중앙선,1008,기타,미사용,계획 없음,77.0,철도용지,5440.0,가능,37.79,1446833.0,263987.0,0
19050,강원본부,충청북도 단양군 매포읍 가평리 121-2,중앙선,13,기타,미사용,계획 없음,1.0,철도용지,5440.0,가능,37.79,18794.0,3429.0,0
19051,강원본부,충청북도 단양군 매포읍 가평리 121-3,중앙선,139,기타,미사용,계획 없음,10.0,철도용지,5440.0,가능,37.79,187902.0,34284.0,0
19052,강원본부,충청북도 단양군 매포읍 가평리 122-2,중앙선,56,기타,미사용,계획 없음,4.0,철도용지,5440.0,가능,37.79,75158.0,13713.0,0
19053,강원본부,충청북도 단양군 매포읍 가평리 285-2,중앙선,707,기타,미사용,계획 없음,54.0,답,1810.0,가능,37.79,1014661.0,185134.0,0
19054,강원본부,충청북도 단양군 매포읍 가평리 285-3,중앙선,56,기타,미사용,계획 없음,4.0,철도용지,1810.0,가능,37.79,75158.0,13713.0,0
19055,강원본부,충청북도 단양군 매포읍 가평리 288-12,중앙선,43,기타,미사용,계획 없음,3.0,답,2670.0,가능,37.79,56371.0,10285.0,0
19056,강원본부,충청북도 단양군 매포읍 가평리 288-4,중앙선,1094,기타,미사용,계획 없음,84.0,철도용지,1810.0,가능,37.79,1578366.0,287987.0,0
19057,강원본부,충청북도 단양군 매포읍 가평리 288-5,중앙선,93,기타,미사용,계획 없음,7.0,철도용지,1810.0,가능,37.79,131530.0,23998.0,0
19058,강원본부,충청북도 단양군 매포읍 가평리 289-4,중앙선,112,기타,미사용,계획 없음,8.0,답,2670.0,가능,37.79,150314.0,27426.0,0
19059,강원본부,충청북도 단양군 매포읍 가평리 289-5,중앙선,53,기타,미사용,계획 없음,4.0,답,2670.0,가능,37.79,75158.0,13713.0,0
19060,강원본부,충청북도 단양군 매포읍 가평리 289-7,중앙선,73,기타,미사용,계획 없음,5.0,철도용지,1810.0,가능,37.79,93946.0,17141.0,0
19061,강원본부,충청북도 단양군 매포읍 가평리 290,중앙선,635,기타,미사용,계획 없음,48.0,철도용지,2540.0,가능,37.79,901922.0,164563.0,0
19062,강원본부,충청북도 단양군 매포읍 가평리 475-7,중앙선,382,기타,미사용,계획 없음,29.0,철도용지,3790.0,가능,37.79,544913.0,99424.0,0
19063,강원본부,충청북도 단양군 매포읍 가평리 476-3,중앙선,522,기타,미사용,계획 없음,40.0,철도용지,10300.0,가능,37.79,751600.0,137136.0,0
19064,강원본부,충청북도 단양군 매포읍 가평리 482-8,중앙선,183,기타,미사용,계획 없음,14.0,철도용지,7840.0,가능,37.79,263064.0,47998.0,0
19065,강원본부,충청북도 단양군 매포읍 가평리 483-3,중앙선,76,기타,미사용,계획 없음,5.0,철도용지,5440.0,가능,37.79,93946.0,17141.0,0
19066,강원본부,충청북도 단양군 매포읍 가평리 483-4,중앙선,393,기타,미사용,계획 없음,30.0,철도용지,3040.0,가능,37.79,563701.0,102852.0,0
19067,강원본부,충청북도 단양군 매포읍 가평리 산 24-1,중앙선,7828,기타,미사용,계획 없음,602.0,철도용지,5440.0,가능,37.79,11311591.0,1983825.0,2
19068,강원본부,충청북도 단양군 매포읍 가평리 산 47-1,중앙선,298,기타,미사용,계획 없음,22.0,철도용지,990.0,가능,37.79,413382.0,75425.0,0
19069,강원본부,충청북도 단양군 매포읍 가평리 산 47-3,중앙선,50,기타,미사용,계획 없음,3.0,철도용지,990.0,가능,37.79,56371.0,10285.0,0
19070,강원본부,충청북도 단양군 매포읍 가평리 산 48-1,중앙선,4066,기타,미사용,계획 없음,313.0,철도용지,990.0,가능,37.79,5881283.0,1038938.0,1
19071,강원본부,충청북도 단양군 매포읍 고양리 352-2,중앙선,73,기타,미사용,계획 없음,5.0,철도용지,17100.0,가능,37.79,93946.0,17141.0,0
19072,강원본부,충청북도 단양군 매포읍 고양리 352-23,중앙선,72,기타,미사용,계획 없음,5.0,도로,17100.0,가능,37.79,93946.0,17141.0,0
19073,강원본부,충청북도 단양군 매포읍 고양리 352-3,중앙선,153,기타,미사용,계획 없음,11.0,도로,17100.0,가능,37.79,206684.0,37711.0,0
19074,강원본부,충청북도 단양군 매포읍 고양리 352-5,중앙선,40,기타,미사용,계획 없음,3.0,철도용지,17100.0,가능,37.79,56371.0,10285.0,0
19075,강원본부,충청북도 단양군 매포읍 고양리 353-1,중앙선,56,기타,미사용,계획 없음,4.0,전,2670.0,가능,37.79,75158.0,13713.0,0
19076,강원본부,충청북도 단양군 매포읍 고양리 353-2,중앙선,13,기타,미사용,계획 없음,1.0,도로,2670.0,가능,37.79,18794.0,3429.0,0
19077,강원본부,충청북도 단양군 매포읍 고양리 354-3,중앙선,33,기타,미사용,계획 없음,2.0,임야,2970.0,가능,37.79,37571.0,6855.0,0
19078,강원본부,충청북도 단양군 매포읍 고양리 354-5,중앙선,33,기타,미사용,계획 없음,2.0,전,2670.0,가능,37.79,37571.0,6855.0,0
19079,강원본부,충청북도 단양군 매포읍 고양리 354-6,중앙선,33,기타,미사용,계획 없음,2.0,전,2670.0,가능,37.79,37571.0,6855.0,0
19080,강원본부,충청북도 단양군 매포읍 고양리 368-2,중앙선,56,기타,미사용,계획 없음,4.0,철도용지,2670.0,가능,37.79,75158.0,13713.0,0
19081,강원본부,충청북도 단양군 매포읍 고양리 368-3,중앙선,43,기타,미사용,계획 없음,3.0,철도용지,2670.0,가능,37.79,56371.0,10285.0,0
19082,강원본부,충청북도 단양군 매포읍 고양리 369-2,중앙선,1874,기타,미사용,계획 없음,144.0,철도용지,6150.0,가능,37.79,2705772.0,486581.0,0
19083,강원본부,충청북도 단양군 매포읍 고양리 371-1,중앙선,450,기타,미사용,계획 없음,34.0,철도용지,6120.0,가능,37.79,638863.0,116566.0,0
19084,강원본부,충청북도 단양군 매포읍 고양리 371-3,중앙선,202,기타,미사용,계획 없음,15.0,철도용지,8530.0,가능,37.79,281850.0,51426.0,0
19085,강원본부,충청북도 단양군 매포읍 고양리 371-6,중앙선,356,기타,미사용,계획 없음,27.0,철도용지,7790.0,가능,37.79,507328.0,92566.0,0
19087,강원본부,충청북도 단양군 매포읍 고양리 372-4,중앙선,365,기타,미사용,계획 없음,28.0,철도용지,6100.0,가능,37.79,526117.0,95994.0,0
19088,강원본부,충청북도 단양군 매포읍 고양리 372-8,중앙선,121,기타,미사용,계획 없음,9.0,임야,3730.0,가능,37.79,169113.0,30856.0,0
19089,강원본부,충청북도 단양군 매포읍 고양리 372-9,중앙선,169,기타,미사용,계획 없음,13.0,도로,6280.0,가능,37.79,244265.0,44568.0,0
19090,강원본부,충청북도 단양군 매포읍 고양리 373-15,중앙선,433,기타,미사용,계획 없음,33.0,도로,17100.0,가능,37.79,620067.0,113136.0,0
19092,강원본부,충청북도 단양군 매포읍 고양리 373-4,중앙선,175,기타,미사용,계획 없음,13.0,도로,17100.0,가능,37.79,244265.0,44568.0,0
19093,강원본부,충청북도 단양군 매포읍 고양리 373-6,중앙선,543,기타,미사용,계획 없음,41.0,전,17100.0,가능,37.79,770389.0,140564.0,0
19094,강원본부,충청북도 단양군 매포읍 고양리 374-1,중앙선,46,기타,미사용,계획 없음,3.0,철도용지,6100.0,가능,37.79,56371.0,10285.0,0
19095,강원본부,충청북도 단양군 매포읍 고양리 375-13,중앙선,405,기타,미사용,계획 없음,31.0,전,22900.0,가능,37.79,582489.0,106280.0,0
19098,강원본부,충청북도 단양군 매포읍 고양리 375-7,중앙선,300,기타,미사용,계획 없음,23.0,전,22900.0,가능,37.79,432175.0,78854.0,0
19099,강원본부,충청북도 단양군 매포읍 고양리 375-8,중앙선,93,기타,미사용,계획 없음,7.0,도로,6100.0,가능,37.79,131530.0,23998.0,0
19100,강원본부,충청북도 단양군 매포읍 고양리 산 1-2,중앙선,1190,기타,미사용,계획 없음,91.0,철도용지,6100.0,가능,37.79,1709887.0,311984.0,0
19101,강원본부,충청북도 단양군 매포읍 고양리 산 31-2,중앙선,3967,기타,미사용,계획 없음,305.0,철도용지,6100.0,가능,37.79,5730957.0,1012868.0,1
19103,강원본부,충청북도 단양군 매포읍 김산리 243-5,중앙선,258,기타,미사용,계획 없음,19.0,철도용지,445.0,가능,37.79,357013.0,65140.0,0
19104,강원본부,충청북도 단양군 매포읍 김산리 244-1,중앙선,281,기타,미사용,계획 없음,21.0,전,2290.0,가능,37.79,394587.0,71996.0,0
19105,강원본부,충청북도 단양군 매포읍 김산리 244-2,중앙선,635,기타,미사용,계획 없음,48.0,철도용지,2240.0,가능,37.79,901922.0,164563.0,0
19106,강원본부,충청북도 단양군 매포읍 김산리 245-2,중앙선,331,기타,미사용,계획 없음,25.0,철도용지,1550.0,가능,37.79,469746.0,85709.0,0
19107,강원본부,충청북도 단양군 매포읍 김산리 245-3,중앙선,165,기타,미사용,계획 없음,12.0,철도용지,1050.0,가능,37.79,225482.0,41141.0,0
19108,강원본부,충청북도 단양군 매포읍 김산리 245-4,중앙선,585,기타,미사용,계획 없음,45.0,철도용지,901.0,가능,37.79,845549.0,154278.0,0
19112,강원본부,충청북도 단양군 매포읍 삼곡리 429-10,중앙선,873,기타,미사용,계획 없음,67.0,철도용지,7610.0,가능,37.79,1258934.0,229704.0,0
19113,강원본부,충청북도 단양군 매포읍 삼곡리 435-1,중앙선,685,기타,미사용,계획 없음,52.0,철도용지,6100.0,가능,37.79,977086.0,178278.0,0
19114,강원본부,충청북도 단양군 매포읍 삼곡리 산 4-2,중앙선,893,기타,미사용,계획 없음,68.0,철도용지,6100.0,가능,37.79,1277721.0,233131.0,0
19115,강원본부,충청북도 단양군 매포읍 삼곡리 산 4-3,중앙선,33,기타,미사용,계획 없음,2.0,철도용지,6100.0,가능,37.79,37571.0,6855.0,0
19116,강원본부,충청북도 단양군 매포읍 상시리 103-2,중앙선,112,기타,미사용,계획 없음,8.0,철도용지,5110.0,가능,37.79,150314.0,27426.0,0
19117,강원본부,충청북도 단양군 매포읍 상시리 106-2,중앙선,1385,기타,미사용,계획 없음,106.0,철도용지,4780.0,가능,37.79,1991745.0,362399.0,0
19118,강원본부,충청북도 단양군 매포읍 상시리 109-2,중앙선,605,기타,미사용,계획 없음,46.0,철도용지,5110.0,가능,37.79,864344.0,157707.0,0
19119,강원본부,충청북도 단양군 매포읍 상시리 115-2,중앙선,354,기타,미사용,계획 없음,27.0,철도용지,6170.0,가능,37.79,507328.0,92566.0,0
19120,강원본부,충청북도 단양군 매포읍 상시리 116-2,중앙선,36,기타,미사용,계획 없음,2.0,철도용지,6170.0,가능,37.79,37571.0,6855.0,0
19121,강원본부,충청북도 단양군 매포읍 상시리 142-1,중앙선,30,기타,미사용,계획 없음,2.0,철도용지,2670.0,가능,37.79,37571.0,6855.0,0
19122,강원본부,충청북도 단양군 매포읍 상시리 145-1,중앙선,13,기타,미사용,계획 없음,1.0,철도용지,5110.0,가능,37.79,18794.0,3429.0,0
19123,강원본부,충청북도 단양군 매포읍 상시리 145-5,중앙선,747,기타,미사용,계획 없음,57.0,답,5110.0,가능,37.79,1071030.0,195419.0,0
19124,강원본부,충청북도 단양군 매포읍 상시리 146-1,중앙선,152,기타,미사용,계획 없음,11.0,철도용지,5110.0,가능,37.79,206684.0,37711.0,0
